channel,idx,mrs,magnitude,angle,date
55.0,-0.00013293804922228728,-0.00014304985354635446,0.00019528385885848512,-132.90170268082557,2022-02-28
56.0,-0.00012530661022011624,-0.000526235008066516,0.0005409482695042312,-103.39379196866697,2022-02-28
57.0,-0.0005413355530481128,-0.000625101862742309,0.0008269198992634115,-130.89242357848815,2022-02-28
58.0,-4.3851384298019775e-05,-0.00011169161020980991,0.00011999149843265033,-111.4355310658642,2022-02-28
59.0,-0.00016221998575240224,-0.0001712999073755457,0.00023592155909195778,-133.4405346569913,2022-02-28
60.0,-2.8593376669593234e-05,-0.0001029607381995334,0.000106857357257056,-105.52058326099244,2022-02-28
61.0,-0.00024466464640532815,-9.160612387823397e-05,0.0002612517390040468,-159.4733439873178,2022-02-28
62.0,-0.0002308952119496382,-0.00010221026198844342,0.00025250650794982413,-156.12249028593473,2022-02-28
63.0,-2.479858169619078e-05,0.00019349384715025458,0.0001950764940712969,97.30333519053757,2022-02-28
64.0,-0.0012388410457654635,-0.0008849892718358693,0.0015224759925653506,-144.459173791763,2022-02-28
65.0,-0.00020957530579938523,-0.00038704778074924304,0.00044014519579772755,-118.43427813937883,2022-02-28
66.0,-0.001562118177468388,-0.00042432047543626024,0.0016187220472494998,-164.8033351286309,2022-02-28
67.0,-0.0009384242504897235,-0.0010361704563273564,0.0013979589723853991,-132.16606287030785,2022-02-28
68.0,-0.0004992628395112156,0.0002147969932587938,0.0005435081703432067,156.72125758355472,2022-02-28
69.0,-0.00018436306494293018,-0.0004850278704592849,0.0005188851268223246,-110.81220737930467,2022-02-28
70.0,-0.00022863749033674027,-0.0004556906594102253,0.0005098324029141429,-116.64467693641521,2022-02-28
71.0,0.0001631795740591657,0.0012620826747435528,0.0012725880131755018,82.63287641632145,2022-02-28
72.0,0.00011181178825582336,0.0005559560987850822,0.0005670882292635717,78.62858592905386,2022-02-28
73.0,-0.00026073721029651315,0.0002145506544115565,0.00033766237004089644,140.55034537272542,2022-02-28
74.0,-0.0015420496077345367,-0.001985603340943794,0.002514067942654175,-127.83345430540406,2022-02-28
75.0,-0.00014402772986147879,-0.000490593987100263,0.0005112987846142255,-106.36109222001573,2022-02-28
76.0,1.619109578141837e-05,-0.00013651624862674746,0.00013747304361845996,-83.23620383430944,2022-02-28
77.0,-0.0001608198578128605,-0.0005523560052481654,0.0005752913898196809,-106.23305349431472,2022-02-28
78.0,-0.0002576544188596711,-0.0006868571638973508,0.0007335929137846324,-110.56211372919637,2022-02-28
79.0,0.000530678042119008,-0.0003382291575220421,0.0006292997277810741,-32.51151506279419,2022-02-28
80.0,0.0005831889955407691,0.0004934186968782882,0.0007639184609295152,40.23355765391473,2022-02-28
81.0,-0.0007145643432063759,-0.00012840002397470653,0.0007260087924664993,-169.8132348097049,2022-02-28
82.0,-0.0007742771849867203,-0.0006788221954650135,0.0010297109945256002,-138.75839495776128,2022-02-28
83.0,0.00122075957213412,-0.0007202868317157723,0.001417415624614116,-30.541951632277357,2022-02-28
84.0,-0.0001547073638026134,-0.00016109624185099553,0.00022335256334608884,-133.84103343163363,2022-02-28
85.0,-0.0006233633628353835,0.00026662335509124147,0.0006779895984493776,156.84276169934154,2022-02-28
86.0,-6.346788128923028e-05,-0.0002125226022586936,0.00022179726875268485,-106.6277617024406,2022-02-28
87.0,-8.185829830698163e-05,-0.0002577332177175932,0.0002704203995943706,-107.62029802974806,2022-02-28
88.0,-0.00012729820455880596,-0.00018479093913981265,0.0002243936809985289,-124.5620578087426,2022-02-28
89.0,0.0010667977902852422,0.0011509916025635827,0.0015693435552897141,47.174072398605446,2022-02-28
90.0,0.0008839807127599637,0.0009925905822873913,0.0013291568622917447,48.31239893550808,2022-02-28
91.0,-0.0005196873120342671,-0.0006697352884653499,0.0008477147273140695,-127.81000662102916,2022-02-28
92.0,-7.860829173249629e-05,-0.00015517756172183698,0.00017395211752386277,-116.86540402651288,2022-02-28
93.0,-0.00011611179978307126,-0.00023314758541061927,0.00026046064315298395,-116.47415177601657,2022-02-28
94.0,-0.0002738779767681449,-6.567143176129301e-05,0.00028164140872426885,-166.51599388623785,2022-02-28
95.0,-0.00011350992440550813,-4.908914537994571e-05,0.00012366991199429882,-156.61317465692574,2022-02-28
0.0,-0.0001424253667050827,-9.95502279310169e-05,0.00017376775581849096,-145.0478306011,2022-03-07
1.0,-0.00021913089482096597,-0.00016826545893788687,0.000276281765117814,-142.4801894005673,2022-03-07
2.0,0.00012156442915890454,0.0001368144524475539,0.0001830194110886993,48.37778951802459,2022-03-07
3.0,0.0002593267091318043,0.0008137141789206915,0.0008540381180285261,72.32317528920336,2022-03-07
4.0,0.0002545947220925866,7.150769561640656e-05,0.00026444625739414435,15.688391841686752,2022-03-07
5.0,0.000739318292439376,8.530540893902964e-05,0.0007442234545684043,6.581902753298768,2022-03-07
6.0,0.0010803020156536988,0.0005491573428371723,0.0012118689005900878,26.945909351213174,2022-03-07
7.0,0.0002797066412566372,0.0012322131863627193,0.0012635605018396368,77.21084779455363,2022-03-07
8.0,0.000724828617226808,0.00022252511082404048,0.0007582176134185871,17.066683087067904,2022-03-07
9.0,0.00044861038716030653,7.705550702908355e-05,0.00045517999805750394,9.746296172253846,2022-03-07
10.0,0.00027686986924116376,0.0005124322975033248,0.0005824463786634398,61.61741370255941,2022-03-07
11.0,-0.0002336341398844494,-0.00021581810447471924,0.00031806031745347816,-137.26998419855863,2022-03-07
12.0,0.00046088545081354813,0.00014176392548537425,0.0004821954057647483,17.097393252136154,2022-03-07
13.0,-5.1744220588246255e-05,0.00011676616200039074,0.00012771766108329177,113.90023784477334,2022-03-07
